country_code,country_name,year,Central govt debt (% of GDP),Current account (% of GDP),Expense (% of GDP),Exports (% of GDP),External debt stocks (% of GNI),FDI net inflows (% of GDP),GDP (current USD),GDP growth (annual %),Imports (% of GDP),"Inflation (CPI, annual %)",Official exchange rate (LCU per USD),Real interest rate (%),Revenue excl grants (% of GDP),"Total reserves (includes gold, USD)",Unemployment (% of labor force),GDP_trillion_usd,trade_openness_pct,fiscal_balance_pct_gdp
DE,Germany,2020,,6.34782686016016,32.1505946585061,39.1198068808828,,4.48523547812751,3941398957073.94,-4.13191443239947,33.8137258311309,0.144877925813982,0.875506396987998,,29.5059581768443,268408603348.679,3.881,3.94139895707394,72.9335327120137,-2.644636481661802
DE,Germany,2021,,6.9200696637534,32.6685205602959,42.5198379291429,,2.93002168676674,4355251953410.78,3.90999994204108,37.3996969318423,3.06666666666673,0.84549413889045,,29.2205771330187,295736219413.597,3.594,4.35525195341078,79.91953486098521,-3.4479434272772025
DE,Germany,2022,,3.85045627175846,31.174891399437,45.6284043425185,,2.07605246190373,4201021706478.62,1.8092581243061,43.1573498705316,6.87257438551097,0.949623753156941,,28.5009738330923,293913690186.797,3.137,4.20102170647862,88.7857542130501,-2.673917566344702
DE,Germany,2023,,5.51222510245724,,42.9672624196847,,1.69740103499567,4562207532490.28,-0.869647578573321,38.9952859590786,5.94643667725823,0.924839558470698,,28.3338270949515,322700066274.527,3.071,4.56220753249028,81.9625483787633,
DE,Germany,2024,,5.77188467199732,,41.4340593720908,,1.01586176558023,4685592577804.69,-0.495851897260366,37.6566712174028,2.2564981433876,0.923889546117607,,,377935574356.242,3.4,4.68559257780469,79.0907305894936,
FR,France,2018,,-0.735670615255371,47.1000773214216,32.9179818922164,,2.78594184568695,2781576320884.39,1.64590872395887,33.8842788890102,1.85081508315502,0.846772667108111,,44.7259377621146,166483400196.79,9.018,2.78157632088439,66.80226078122661,-2.374139559307004
FR,France,2019,,0.587362764575747,45.8897902925031,32.8895593910847,,1.96486943301562,2722793515171.76,2.02744646419237,33.5394177830602,1.10825492288294,0.893276257067409,,43.6550132168038,189006435295.488,8.415,2.7227935151717597,66.4289771741449,-2.2347770756992986
FR,France,2020,,-2.00313613657686,51.9636314257982,28.5572228192655,,0.731471704018579,2647926055110.05,-7.44064589948231,30.2816679047993,0.476498852725066,0.875506396987998,,43.3219907101665,224236417867.711,8.009,2.64792605511005,58.8388907240648,-8.641640715631695
FR,France,2021,,0.244238511780542,49.9944440065304,31.2880499332105,,3.30405312221271,2966433692008.09,6.88233783360239,32.5004326976615,1.64233141038385,0.84549413889045,,43.504848267154,244280333397.895,7.871,2.96643369200809,63.788482630872004,-6.489595739376398
FR,France,2022,,-1.43234855251881,48.8603228368138,36.6160484268785,,4.0180319137717,2794788137066.94,2.71676264185913,39.3469593713211,5.22236748369735,0.949623753156941,,44.2789917035331,242415618842.022,7.303,2.79478813706694,75.9630077981996,-4.581331133280699
FR,France,2023,,-1.04301703799496,47.2580360132692,34.4562568778842,,0.590645170561014,3056250648138.29,1.43921494437743,36.1698881831383,4.87835726508441,0.924839558470698,,42.2138610029253,240792007784.254,7.335,3.05625064813829,70.6261450610225,-5.044175010343899
FR,France,2024,,0.0851279883251641,,33.8897542343832,,1.64700185498585,3160442622465.08,1.19046798275883,34.2184333099912,1.99904942291463,0.923889546117607,,,282857002813.825,7.4,3.16044262246508,68.1081875443744,
GB,United Kingdom,2018,156.766820519267,-3.88728858372976,37.1969170536007,31.854534000688,,-0.864867036878713,2897028009916.05,1.55133095078786,33.0552381952321,2.29283990345938,0.749531540259847,,33.6717998451804,172657749536.315,4.145,2.89702800991605,64.9097721959201,-3.5251172084202977
GB,United Kingdom,2019,158.972569875821,-2.66245642145608,36.4058676559426,31.9028602803155,,0.688204352262878,2875710080015.3,1.25629899760824,33.1007061373899,1.73810460086513,0.783445110011929,,33.2703051672887,173569199262.767,3.657,2.8757100800153,65.0035664177054,-3.1355624886539033
GB,United Kingdom,2020,194.682828796265,-2.92883387550298,47.5326631273768,29.9486520576829,,5.77039185007421,2724001478304.59,-10.047896637362,29.2112372453782,0.989486703772491,0.779999576697153,,33.4086844384201,180054101389.553,4.472,2.72400147830459,59.1598893030611,-14.123978688956697
GB,United Kingdom,2021,183.804848939919,-0.752836357784011,42.9472430652547,29.2894071087705,,3.20643815254935,3194559188925.93,8.5431118453255,29.2489791841395,2.51837109614213,0.727064944688323,,34.5638089563137,194181397315.03,4.864,3.1945591889259304,58.538386292910005,-8.383434108941003
GB,United Kingdom,2022,138.215904304967,-2.06737101121871,40.6510938418388,34.0619283837069,,2.91635435189931,3181244350465.41,5.14970388522993,35.1369980576912,7.92204883147902,0.811301715827773,,35.8232572592484,176409966646.608,3.768,3.18124435046541,69.1989264413981,-4.8278365825904
GB,United Kingdom,2023,136.142431919028,-3.57676183842871,41.2292290721047,31.9122697629938,,0.403116734836793,3420796653789.08,0.271650048355255,33.0801144117865,6.79396706793963,0.804538906734353,,35.307815958642,177915356242.234,4.025,3.42079665378908,64.9923841747803,-5.921413113462698
GB,United Kingdom,2024,131.073062954793,-2.18793597246208,,30.9841588401688,,-0.351465690300773,3686033044482.13,1.1264226705118,31.856001686543,3.2715729463592,0.782414580986262,,34.9208011356426,174597843325.182,4.361,3.68603304448213,62.8401605267118,
ID,Indonesia,2018,,-2.93907291477017,,21.0027464972455,37.5639689128338,1.81428979349441,1042271532988.63,5.17429153955024,22.0715624579547,3.19834755924996,14236.9387734818,6.47124983937941,,120660974090.95,4.387,1.04227153298863,43.074308955200195,
ID,Indonesia,2019,,-2.7056619813955,,18.5915277970883,37.0829978168899,2.23336204282241,1119099871350.2,5.01928768046282,19.0362497386225,3.03058460941661,14147.6713605454,8.62940479031393,,129186464020.188,3.59,1.1190998713502,37.627777535710806,
ID,Indonesia,2020,,-0.418606247736126,,17.3311682848923,40.4899520829926,1.81058402027127,1059054842698.48,-2.06551182934165,15.6410071153504,1.91983527270793,14582.2034678177,9.98592671987597,,135915917616.263,4.255,1.05905484269848,32.9721754002427,
ID,Indonesia,2021,,0.295885914526078,,21.4165556390653,36.1990816015577,1.7878556314554,1186509691086.73,3.70288562827751,18.7882026359018,1.56007882983334,14308.1439011897,2.7532239499583,,144907809744.209,3.827,1.1865096910867299,40.204758274967105,
